state,response,coverage,education,employment_status,gender,location_code,marital_status,renew_offer_type,sales_channel,vehicle_class,vehicle_size,policy_category
California,Yes,Premium,High School or Below,Employed,M,Suburban,Divorced,Offer1,Agent,Luxury SUV,Medsize,Personal
Oregon,No,Extended,Bachelor,Employed,F,Rural,Married,Offer4,Agent,Four-Door Car,Medsize,Personal
Washington,No,Basic,Doctor,Employed,M,Rural,Married,Offer2,Agent,Four-Door Car,Medsize,Personal
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Offer1,Branch,Two-Door Car,Small,Personal
California,No,Premium,High School or Below,Unemployed,F,Suburban,Single,Offer1,Agent,SUV,Medsize,Personal
Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Offer1,Web,Sports Car,Medsize,Personal
Oregon,No,Extended,College,Employed,F,Suburban,Divorced,Offer3,Web,SUV,Large,Corporate
California,No,Extended,Master,Employed,M,Suburban,Single,Offer2,Web,Two-Door Car,Medsize,Personal
Nevada,No,Basic,College,Employed,F,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,Personal
California,Yes,Basic,Master,Employed,F,Suburban,Single,Offer2,Branch,SUV,Large,Corporate
Nevada,No,Premium,College,Employed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal
California,No,Extended,High School or Below,Employed,M,Suburban,Married,Offer4,Branch,SUV,Medsize,Personal
California,No,Basic,College,Unemployed,F,Suburban,Single,Offer1,Agent,Two-Door Car,Medsize,Personal
Oregon,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Corporate
Oregon,No,Extended,College,Employed,F,Rural,Married,Offer1,Call Center,SUV,Medsize,Corporate
Nevada,No,Premium,College,Medical Leave,F,Suburban,Divorced,Offer1,Call Center,SUV,Medsize,Personal
Oregon,No,Basic,High School or Below,Employed,M,Rural,Married,Offer4,Branch,Two-Door Car,Medsize,Personal
Oregon,No,Extended,Bachelor,Employed,F,Urban,Married,Offer1,Agent,Four-Door Car,Small,Personal
Arizona,No,Premium,College,Unemployed,M,Suburban,Single,Offer1,Branch,Four-Door Car,Small,Personal
Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Offer4,Agent,Four-Door Car,Medsize,Personal
Arizona,Yes,Extended,Doctor,Employed,F,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,Personal
Arizona,No,Basic,Bachelor,Disabled,M,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Personal
Nevada,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer3,Branch,Two-Door Car,Small,Corporate
California,No,Basic,High School or Below,Employed,M,Suburban,Single,Offer4,Agent,Four-Door Car,Small,Personal
California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Personal
Nevada,No,Basic,College,Unemployed,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
Arizona,No,Basic,Bachelor,Employed,F,Rural,Divorced,Offer3,Branch,Sports Car,Small,Personal
Washington,No,Basic,College,Unemployed,F,Urban,Married,Offer1,Web,SUV,Medsize,Personal
California,No,Basic,Bachelor,Employed,F,Urban,Married,Offer2,Web,Four-Door Car,Medsize,Special
Oregon,No,Basic,College,Disabled,M,Suburban,Single,Offer3,Agent,Two-Door Car,Medsize,Personal
Oregon,No,Extended,Master,Unemployed,F,Suburban,Married,Offer2,Call Center,Four-Door Car,Medsize,Personal
Arizona,No,Basic,College,Employed,F,Urban,Married,Offer1,Branch,Two-Door Car,Medsize,Personal
Oregon,No,Basic,College,Employed,F,Suburban,Married,Offer2,Web,Sports Car,Medsize,Personal
Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Agent,Two-Door Car,Medsize,Personal
Nevada,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Offer4,Branch,Two-Door Car,Small,Personal
Oregon,Yes,Basic,College,Unemployed,F,Suburban,Divorced,Offer1,Branch,Four-Door Car,Small,Special
Nevada,No,Basic,College,Employed,M,Rural,Single,Offer1,Agent,SUV,Large,Special
Nevada,No,Premium,High School or Below,Employed,M,Suburban,Married,Offer1,Call Center,SUV,Medsize,Personal
Oregon,Yes,Basic,College,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Large,Personal
California,No,Basic,High School or Below,Employed,M,Urban,Married,Offer4,Web,Two-Door Car,Large,Personal
Nevada,Yes,Extended,Doctor,Employed,M,Rural,Divorced,Offer2,Branch,Four-Door Car,Medsize,Personal
California,No,Basic,Bachelor,Employed,F,Rural,Single,Offer4,Branch,Four-Door Car,Medsize,Personal
California,Yes,Extended,Bachelor,Retired,F,Suburban,Divorced,Offer2,Call Center,Four-Door Car,Medsize,Personal
California,No,Basic,College,Employed,F,Urban,Divorced,Offer4,Agent,Four-Door Car,Medsize,Corporate
Arizona,No,Extended,Bachelor,Employed,M,Suburban,Married,Offer1,Call Center,Two-Door Car,Small,Personal
Arizona,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Offer3,Branch,Four-Door Car,Large,Corporate
Washington,No,Premium,High School or Below,Employed,F,Rural,Married,Offer2,Agent,Sports Car,Small,Personal
Oregon,Yes,Extended,Doctor,Employed,M,Suburban,Divorced,Offer2,Agent,Sports Car,Medsize,Personal
Washington,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Offer2,Branch,Four-Door Car,Medsize,Personal
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,Personal
Arizona,No,Basic,Bachelor,Employed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Personal
Nevada,No,Basic,College,Unemployed,F,Suburban,Married,Offer2,Web,SUV,Medsize,Personal
Oregon,Yes,Basic,Master,Employed,F,Suburban,Married,Offer2,Agent,Four-Door Car,Small,Personal
Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Offer4,Call Center,SUV,Medsize,Corporate
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Divorced,Offer1,Web,Four-Door Car,Medsize,Personal
Nevada,No,Basic,Bachelor,Employed,F,Urban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal
Nevada,No,Extended,College,Unemployed,F,Suburban,Single,Offer2,Agent,Four-Door Car,Medsize,Corporate
Oregon,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,Corporate
Nevada,No,Basic,College,Employed,M,Urban,Divorced,Offer1,Agent,SUV,Medsize,Personal
Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Offer4,Branch,Four-Door Car,Large,Personal
California,Yes,Basic,Master,Disabled,M,Suburban,Divorced,Offer1,Call Center,Four-Door Car,Small,Personal
Nevada,No,Premium,High School or Below,Employed,F,Suburban,Single,Offer4,Branch,Two-Door Car,Large,Personal
Washington,No,Basic,Master,Employed,F,Urban,Married,Offer4,Web,Four-Door Car,Medsize,Personal
Washington,No,Basic,College,Employed,M,Suburban,Married,Offer1,Branch,Four-Door Car,Small,Personal
California,No,Basic,College,Employed,F,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,Personal
Arizona,No,Extended,Bachelor,Employed,F,Urban,Divorced,Offer1,Call Center,SUV,Medsize,Personal
California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Agent,Two-Door Car,Medsize,Corporate
Oregon,No,Basic,College,Employed,M,Suburban,Married,Offer2,Call Center,Two-Door Car,Medsize,Personal
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer1,Call Center,SUV,Medsize,Corporate
Arizona,No,Extended,College,Employed,M,Suburban,Divorced,Offer4,Branch,Two-Door Car,Medsize,Personal
Oregon,No,Basic,Bachelor,Medical Leave,M,Suburban,Married,Offer4,Agent,Four-Door Car,Large,Personal
Nevada,No,Basic,Doctor,Unemployed,M,Suburban,Married,Offer3,Agent,Four-Door Car,Small,Personal
California,No,Basic,Bachelor,Employed,M,Suburban,Married,Offer2,Agent,Two-Door Car,Medsize,Personal
California,No,Basic,High School or Below,Employed,M,Suburban,Single,Offer4,Branch,SUV,Medsize,Personal
California,No,Extended,Master,Unemployed,M,Suburban,Married,Offer1,Call Center,SUV,Large,Personal
Nevada,No,Extended,Doctor,Employed,M,Rural,Married,Offer3,Branch,Four-Door Car,Medsize,Personal
California,No,Basic,High School or Below,Unemployed,F,Suburban,Divorced,Offer1,Branch,Four-Door Car,Large,Corporate
Nevada,No,Extended,Master,Employed,F,Rural,Divorced,Offer2,Web,Two-Door Car,Medsize,Personal
California,No,Basic,Doctor,Employed,F,Urban,Married,Offer2,Call Center,Four-Door Car,Medsize,Special
Nevada,Yes,Premium,College,Employed,M,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal
Arizona,No,Extended,College,Employed,M,Urban,Married,Offer2,Call Center,Four-Door Car,Medsize,Personal
Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Married,Offer4,Web,Four-Door Car,Medsize,Personal
California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Offer4,Agent,Four-Door Car,Medsize,Personal
Oregon,No,Extended,College,Unemployed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Personal
Arizona,No,Basic,Bachelor,Employed,F,Rural,Single,Offer1,Agent,Two-Door Car,Large,Personal
Nevada,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Corporate
California,No,Extended,Master,Employed,F,Suburban,Married,Offer4,Branch,Two-Door Car,Large,Corporate
Washington,No,Basic,College,Medical Leave,F,Rural,Married,Offer2,Web,Two-Door Car,Medsize,Personal
California,No,Basic,Bachelor,Employed,F,Suburban,Married,Offer1,Agent,SUV,Small,Personal
California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Offer2,Agent,Four-Door Car,Small,Personal
California,No,Basic,Doctor,Employed,M,Rural,Married,Offer3,Branch,SUV,Medsize,Personal
Oregon,No,Basic,College,Unemployed,F,Urban,Divorced,Offer1,Web,SUV,Medsize,Personal
Arizona,No,Extended,Master,Employed,M,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,Corporate
Washington,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Offer1,Branch,Luxury Car,Medsize,Personal
Nevada,Yes,Basic,College,Employed,M,Urban,Married,Offer2,Web,Four-Door Car,Medsize,Personal
Oregon,No,Basic,College,Employed,F,Rural,Married,Offer1,Call Center,Two-Door Car,Small,Corporate
Arizona,No,Extended,College,Employed,F,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,Personal
Nevada,No,Premium,Master,Employed,M,Urban,Married,Offer3,Agent,Two-Door Car,Medsize,Personal
Arizona,No,Extended,High School or Below,Employed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
Nevada,Yes,Extended,Doctor,Employed,M,Suburban,Married,Offer1,Branch,Two-Door Car,Medsize,Personal
California,Yes,Basic,High School or Below,Employed,F,Suburban,Single,Offer2,Call Center,Four-Door Car,Medsize,Personal
California,No,Basic,Master,Employed,M,Rural,Married,Offer2,Branch,Four-Door Car,Medsize,Personal
Nevada,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Offer1,Branch,SUV,Large,Personal
Arizona,No,Basic,College,Medical Leave,M,Urban,Divorced,Offer3,Branch,Four-Door Car,Medsize,Personal
California,Yes,Extended,Bachelor,Employed,F,Urban,Divorced,Offer2,Web,Four-Door Car,Medsize,Personal
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Personal
Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Offer3,Call Center,Sports Car,Medsize,Personal
California,No,Extended,College,Disabled,F,Suburban,Married,Offer1,Agent,SUV,Large,Personal
California,No,Basic,College,Medical Leave,F,Urban,Married,Offer1,Branch,Two-Door Car,Medsize,Personal
Nevada,Yes,Premium,College,Employed,M,Suburban,Single,Offer2,Branch,Sports Car,Medsize,Personal
Washington,No,Basic,Master,Employed,F,Rural,Married,Offer1,Call Center,Four-Door Car,Medsize,Personal
Oregon,No,Basic,College,Employed,F,Suburban,Married,Offer2,Web,Four-Door Car,Small,Personal
Washington,No,Extended,Bachelor,Medical Leave,M,Suburban,Divorced,Offer1,Branch,SUV,Medsize,Corporate
Oregon,No,Extended,College,Employed,M,Rural,Married,Offer1,Branch,SUV,Large,Special
Oregon,No,Basic,Doctor,Unemployed,F,Urban,Married,Offer1,Branch,SUV,Large,Personal
California,No,Basic,High School or Below,Unemployed,M,Suburban,Divorced,Offer1,Branch,Four-Door Car,Medsize,Personal
California,No,Basic,Bachelor,Employed,F,Urban,Married,Offer3,Branch,Two-Door Car,Small,Personal
Oregon,No,Extended,Master,Employed,M,Rural,Married,Offer4,Call Center,Four-Door Car,Medsize,Corporate
California,No,Extended,College,Employed,F,Rural,Married,Offer3,Branch,Sports Car,Medsize,Personal
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Offer1,Agent,SUV,Medsize,Personal
California,No,Premium,College,Employed,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Small,Personal
Oregon,No,Premium,Master,Employed,M,Suburban,Married,Offer3,Branch,Four-Door Car,Small,Personal
Washington,No,Basic,College,Unemployed,F,Suburban,Single,Offer1,Agent,Luxury SUV,Medsize,Personal
Nevada,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer2,Branch,Two-Door Car,Medsize,Personal
California,No,Basic,Bachelor,Employed,M,Urban,Married,Offer3,Call Center,Four-Door Car,Medsize,Corporate
Oregon,No,Premium,High School or Below,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Large,Personal
California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Offer1,Branch,Two-Door Car,Medsize,Personal
California,No,Basic,High School or Below,Medical Leave,F,Suburban,Divorced,Offer1,Agent,SUV,Medsize,Personal
California,No,Basic,College,Employed,F,Suburban,Married,Offer1,Agent,SUV,Medsize,Personal
Nevada,No,Basic,College,Employed,F,Rural,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
California,No,Extended,College,Employed,F,Urban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
Oregon,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Offer1,Branch,Two-Door Car,Small,Personal
California,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
Arizona,Yes,Premium,High School or Below,Employed,F,Suburban,Married,Offer2,Web,Four-Door Car,Large,Corporate
Oregon,No,Basic,High School or Below,Employed,M,Urban,Single,Offer2,Agent,Four-Door Car,Large,Personal
California,No,Extended,High School or Below,Medical Leave,F,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
Oregon,No,Basic,College,Employed,F,Rural,Divorced,Offer2,Branch,Luxury SUV,Medsize,Personal
Nevada,No,Basic,College,Employed,F,Urban,Married,Offer2,Web,Four-Door Car,Large,Personal
California,No,Basic,Bachelor,Employed,M,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Personal
Oregon,No,Basic,Master,Employed,F,Urban,Married,Offer1,Branch,Two-Door Car,Medsize,Personal
Oregon,No,Premium,College,Employed,F,Suburban,Married,Offer1,Branch,Four-Door Car,Medsize,Personal
California,Yes,Extended,College,Medical Leave,M,Suburban,Married,Offer2,Branch,Four-Door Car,Small,Personal
California,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Small,Personal
Nevada,Yes,Extended,College,Employed,M,Suburban,Single,Offer2,Agent,Luxury SUV,Small,Personal
Arizona,Yes,Basic,College,Employed,F,Rural,Single,Offer2,Agent,Two-Door Car,Medsize,Corporate
Nevada,No,Basic,High School or Below,Employed,F,Suburban,Married,Offer2,Web,Four-Door Car,Medsize,Personal
Washington,No,Premium,Bachelor,Employed,F,Urban,Married,Offer4,Agent,SUV,Medsize,Personal
Washington,Yes,Extended,Master,Unemployed,M,Suburban,Single,Offer1,Agent,SUV,Small,Personal
Oregon,No,Basic,Bachelor,Employed,M,Rural,Married,Offer2,Agent,Four-Door Car,Small,Personal
Oregon,No,Basic,Doctor,Employed,M,Suburban,Divorced,Offer1,Web,Four-Door Car,Small,Corporate
Oregon,No,Basic,Bachelor,Employed,M,Urban,Married,Offer1,Agent,Sports Car,Small,Corporate
Oregon,No,Extended,High School or Below,Employed,M,Urban,Married,Offer2,Web,SUV,Medsize,Personal
Washington,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal
California,No,Premium,High School or Below,Employed,F,Urban,Married,Offer2,Branch,Two-Door Car,Medsize,Personal
Oregon,No,Extended,Bachelor,Employed,M,Suburban,Divorced,Offer1,Branch,Four-Door Car,Small,Personal
California,No,Basic,Bachelor,Employed,M,Rural,Married,Offer2,Call Center,SUV,Small,Personal
California,Yes,Extended,College,Employed,M,Suburban,Single,Offer2,Agent,Luxury SUV,Small,Special
Washington,No,Basic,College,Employed,F,Urban,Single,Offer3,Call Center,Four-Door Car,Medsize,Personal
Oregon,No,Basic,High School or Below,Disabled,M,Suburban,Married,Offer2,Branch,Four-Door Car,Medsize,Personal
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Offer2,Call Center,Two-Door Car,Small,Personal
Arizona,No,Basic,Bachelor,Employed,F,Rural,Married,Offer2,Agent,SUV,Medsize,Personal
Arizona,Yes,Premium,High School or Below,Employed,F,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Personal
Washington,No,Extended,High School or Below,Employed,M,Suburban,Married,Offer2,Branch,SUV,Medsize,Corporate
Arizona,No,Premium,High School or Below,Employed,M,Urban,Married,Offer4,Call Center,Sports Car,Medsize,Personal
Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Offer2,Branch,Four-Door Car,Medsize,Personal
California,No,Extended,Bachelor,Employed,F,Suburban,Married,Offer3,Agent,SUV,Medsize,Corporate
California,No,Basic,Bachelor,Employed,M,Suburban,Single,Offer1,Branch,SUV,Medsize,Personal
Washington,No,Extended,Doctor,Employed,F,Rural,Divorced,Offer2,Agent,Two-Door Car,Medsize,Personal
Oregon,No,Extended,Master,Unemployed,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
Nevada,No,Basic,High School or Below,Employed,F,Rural,Married,Offer3,Web,SUV,Medsize,Personal
Oregon,No,Premium,High School or Below,Disabled,M,Suburban,Married,Offer3,Branch,Two-Door Car,Medsize,Corporate
California,Yes,Basic,College,Medical Leave,F,Suburban,Married,Offer1,Branch,Sports Car,Large,Personal
Nevada,No,Extended,Bachelor,Employed,F,Urban,Divorced,Offer1,Call Center,Four-Door Car,Medsize,Personal
California,Yes,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Web,Two-Door Car,Medsize,Special
Oregon,No,Basic,College,Employed,F,Rural,Married,Offer2,Branch,SUV,Medsize,Personal
Arizona,No,Basic,High School or Below,Employed,M,Urban,Married,Offer2,Agent,Four-Door Car,Medsize,Personal
Nevada,No,Basic,College,Employed,F,Urban,Married,Offer1,Agent,Two-Door Car,Medsize,Personal
California,No,Basic,Bachelor,Unemployed,F,Suburban,Married,Offer2,Agent,Four-Door Car,Small,Personal
Arizona,No,Basic,Master,Employed,M,Urban,Married,Offer1,Branch,Four-Door Car,Small,Personal
Arizona,No,Basic,College,Employed,F,Rural,Married,Offer2,Call Center,Four-Door Car,Large,Corporate
Nevada,No,Basic,College,Employed,F,Suburban,Married,Offer2,Branch,Two-Door Car,Medsize,Corporate
California,No,Extended,Master,Unemployed,F,Rural,Married,Offer1,Agent,Two-Door Car,Medsize,Personal
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Offer1,Call Center,SUV,Large,Personal
Washington,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Offer3,Branch,Two-Door Car,Medsize,Personal
Arizona,No,Basic,Master,Unemployed,M,Rural,Married,Offer4,Branch,Two-Door Car,Medsize,Personal
Nevada,Yes,Extended,Bachelor,Employed,F,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
California,No,Extended,High School or Below,Unemployed,F,Suburban,Married,Offer4,Agent,SUV,Medsize,Personal
California,No,Basic,High School or Below,Employed,M,Suburban,Single,Offer1,Branch,SUV,Medsize,Personal
Arizona,No,Basic,College,Employed,M,Suburban,Divorced,Offer4,Call Center,Four-Door Car,Large,Personal
Oregon,Yes,Extended,Master,Unemployed,M,Suburban,Single,Offer1,Agent,SUV,Small,Personal
Oregon,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Offer2,Web,Four-Door Car,Medsize,Corporate
California,No,Basic,College,Employed,F,Rural,Married,Offer2,Agent,Two-Door Car,Medsize,Corporate
Nevada,Yes,Basic,Master,Disabled,F,Suburban,Divorced,Offer1,Agent,Four-Door Car,Small,Personal
California,Yes,Extended,High School or Below,Retired,F,Suburban,Divorced,Offer1,Agent,Four-Door Car,Large,Personal
California,No,Basic,College,Employed,F,Rural,Married,Offer1,Branch,Four-Door Car,Medsize,Corporate
Nevada,No,Premium,Bachelor,Unemployed,F,Suburban,Married,Offer1,Call Center,SUV,Small,Personal
Arizona,Yes,Basic,Bachelor,Employed,M,Rural,Married,Offer2,Agent,SUV,Medsize,Corporate
Oregon,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Offer2,Branch,Four-Door Car,Medsize,Personal
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Personal
Washington,No,Basic,College,Employed,F,Rural,Married,Offer1,Agent,Four-Door Car,Large,Corporate
California,Yes,Extended,Doctor,Employed,M,Suburban,Divorced,Offer2,Agent,Sports Car,Medsize,Corporate
California,No,Extended,College,Unemployed,F,Suburban,Married,Offer2,Web,Four-Door Car,Medsize,Personal
Washington,No,Basic,High School or Below,Employed,M,Rural,Single,Offer4,Agent,Two-Door Car,Medsize,Personal
Arizona,Yes,Basic,Bachelor,Disabled,F,Suburban,Divorced,Offer1,Web,Four-Door Car,Medsize,Personal
Arizona,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Offer1,Call Center,SUV,Medsize,Personal
California,No,Basic,Bachelor,Disabled,F,Suburban,Divorced,Offer3,Web,Sports Car,Medsize,Personal
California,No,Extended,College,Unemployed,M,Suburban,Single,Offer3,Branch,Four-Door Car,Medsize,Personal
California,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Offer1,Branch,Two-Door Car,Small,Personal
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Offer2,Web,Two-Door Car,Small,Personal
California,Yes,Basic,High School or Below,Retired,M,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,Personal
California,No,Basic,Doctor,Unemployed,M,Suburban,Married,Offer3,Agent,Four-Door Car,Small,Personal
Oregon,No,Basic,High School or Below,Employed,F,Urban,Married,Offer2,Web,SUV,Medsize,Personal
Arizona,No,Basic,High School or Below,Employed,F,Rural,Married,Offer3,Agent,Four-Door Car,Medsize,Personal
Oregon,No,Basic,Bachelor,Employed,M,Rural,Single,Offer1,Web,SUV,Medsize,Personal
California,Yes,Basic,Bachelor,Employed,F,Urban,Married,Offer2,Branch,SUV,Medsize,Personal
Oregon,No,Extended,High School or Below,Employed,F,Urban,Single,Offer1,Call Center,Sports Car,Medsize,Personal
Arizona,No,Extended,High School or Below,Medical Leave,M,Suburban,Married,Offer4,Branch,Four-Door Car,Large,Personal
Washington,No,Extended,College,Unemployed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Large,Personal
Washington,No,Extended,Bachelor,Employed,M,Suburban,Single,Offer1,Call Center,Two-Door Car,Medsize,Personal
Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Call Center,Four-Door Car,Medsize,Personal
Oregon,No,Extended,College,Employed,F,Suburban,Single,Offer2,Agent,Two-Door Car,Large,Personal
California,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Small,Personal
Oregon,No,Extended,High School or Below,Employed,F,Rural,Divorced,Offer2,Web,Four-Door Car,Medsize,Personal
Washington,No,Basic,College,Unemployed,M,Suburban,Divorced,Offer1,Agent,Sports Car,Medsize,Personal
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Offer1,Call Center,SUV,Medsize,Corporate
Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Offer1,Call Center,SUV,Small,Personal
Oregon,No,Basic,High School or Below,Employed,F,Suburban,Divorced,Offer1,Agent,Four-Door Car,Small,Corporate
Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Divorced,Offer1,Branch,Two-Door Car,Medsize,Special
Oregon,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Offer1,Agent,SUV,Medsize,Personal
Oregon,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Offer2,Branch,Four-Door Car,Large,Personal
Washington,Yes,Extended,College,Retired,M,Suburban,Married,Offer1,Agent,Four-Door Car,Medsize,Corporate
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Agent,Two-Door Car,Medsize,Personal
Arizona,No,Basic,Bachelor,Medical Leave,F,Suburban,Married,Offer1,Call Center,Four-Door Car,Medsize,Personal
Washington,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Offer1,Agent,Four-Door Car,Medsize,Personal
California,No,Basic,High School or Below,Employed,F,Urban,Divorced,Offer3,Branch,Four-Door Car,Medsize,Personal
California,No,Basic,Bachelor,Employed,F,Suburban,Married,Offer2,Call Center,Luxury SUV,Medsize,Personal
Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer1,Branch,Four-Door Car,Medsize,Personal
Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Offer3,Web,Four-Door Car,Medsize,Corporate
Oregon,No,Basic,College,Employed,F,Suburban,Married,Offer2,Call Center,Four-Door Car,Small,Personal
California,Yes,Extended,High School or Below,Disabled,F,Suburban,Married,Offer1,Agent,Two-Door Car,Small,Personal
Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Offer3,Agent,Luxury SUV,Medsize,Special
Oregon,No,Extended,Bachelor,Employed,F,Urban,Divorced,Offer3,Branch,Four-Door Car,Large,Personal
California,No,Basic,College,Medical Leave,F,Urban,Married,Offer1,Call Center,Two-Door Car,Large,Personal
Arizona,Yes,Extended,College,Employed,M,Urban,Divorced,Offer2,Call Center,Four-Door Car,Medsize,Special
California,No,Extended,Master,Employed,M,Suburban,Married,Offer2,Call Center,Four-Door Car,Medsize,Personal
Oregon,No,Basic,College,Disabled,M,Suburban,Married,Offer1,Agent,SUV,Medsize,Personal
Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Offer2,Agent,Two-Door Car,Medsize,Personal
Nevada,No,Extended,High School or Below,Unemployed,F,Suburban,Married,Offer2,Agent,Four-Door Car,Medsize,Personal
California,No,Basic,Bachelor,Employed,M,Rural,Divorced,Offer1,Branch,SUV,Medsize,Personal
Oregon,No,Basic,High School or Below,Medical Leave,F,Suburban,Married,Offer1,Web,Two-Door Car,Small,Personal
Arizona,Yes,Premium,High School or Below,Employed,M,Suburban,Single,Offer1,Agent,Four-Door Car,Medsize,Personal
Oregon,No,Basic,High School or Below,Employed,M,Rural,Married,Offer4,Branch,Four-Door Car,Medsize,Corporate
Nevada,No,Extended,High School or Below,Employed,M,Rural,Married,Offer2,Call Center,Two-Door Car,Medsize,Personal
California,No,Extended,Master,Employed,F,Suburban,Married,Offer2,Agent,Sports Car,Large,Personal
California,No,Extended,College,Unemployed,F,Suburban,Single,Offer2,Web,Four-Door Car,Medsize,Personal
Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Offer3,Web,SUV,Medsize,Personal
Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Offer1,Agent,Four-Door Car,Small,Personal
